,hback,order,next,matrix
0,2,0,3,"[[2, np.int64(0), np.int64(0), 1, 30, np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(0), np.int64(0), 1], [2, np.int64(25), np.int64(3), 8, 30, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 0], [2, np.int64(78), np.int64(9), 18, 30, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 0], [2, np.int64(88), np.int64(9), 20, 30, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 0], [2, np.int64(128), np.int64(11), 28, 30, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 0], [3, np.int64(4), np.int64(4), 1, 30, np.int64(1), np.int64(2), np.int64(3), np.int64(1), np.int64(1), np.int64(0), 1], [3, np.int64(32), np.int64(4), 5, 30, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 1], [3, np.int64(41), np.int64(8), 7, 30, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 1], [3, np.int64(75), np.int64(14), 13, 30, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 1], [3, np.int64(83), np.int64(2), 16, 30, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 0], [3, np.int64(111), np.int64(3), 23, 30, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 1], [3, np.int64(136), np.int64(13), 28, 30, np.int64(-1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0), 0], [3, np.int64(146), np.int64(10), 29, 30, np.int64(-1), np.int64(0), np.int64(-2), np.int64(1), np.int64(1), np.int64(2), 1], [4, np.int64(8), np.int64(8), 1, 27, np.int64(4), np.int64(5), np.int64(3), np.int64(0), np.int64(0), np.int64(1), 1], [4, np.int64(14), np.int64(6), 2, 27, np.int64(0), np.int64(1), np.int64(-1), np.int64(1), np.int64(1), np.int64(2), 0], [4, np.int64(15), np.int64(1), 3, 27, np.int64(0), np.int64(1), np.int64(-1), np.int64(1), np.int64(1), np.int64(2), 1], [4, np.int64(16), np.int64(1), 4, 27, np.int64(1), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(1), 0], [4, np.int64(86), np.int64(13), 12, 27, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 0], [4, np.int64(98), np.int64(6), 15, 27, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 1], [4, np.int64(99), np.int64(1), 16, 27, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 0], [4, np.int64(100), np.int64(1), 17, 27, np.int64(-1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0), 1], [4, np.int64(120), np.int64(20), 18, 27, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 0], [4, np.int64(121), np.int64(1), 19, 27, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 1], [4, np.int64(148), np.int64(8), 26, 27, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 0], [5, np.int64(20), np.int64(20), 1, 10, np.int64(1), np.int64(2), np.int64(0), np.int64(2), np.int64(2), np.int64(3), 1], [5, np.int64(115), np.int64(6), 7, 10, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 1], [6, np.int64(2), np.int64(2), 1, 18, np.int64(2), np.int64(3), np.int64(1), np.int64(0), np.int64(0), np.int64(1), 1], [6, np.int64(9), np.int64(7), 2, 18, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 0], [6, np.int64(66), np.int64(2), 8, 18, np.int64(-1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0), 0], [7, np.int64(27), np.int64(16), 3, 17, np.int64(-1), np.int64(0), np.int64(-2), np.int64(2), np.int64(2), np.int64(3), 1], [7, np.int64(51), np.int64(21), 5, 17, np.int64(-2), np.int64(-1), np.int64(0), np.int64(2), np.int64(2), np.int64(1), 1], [7, np.int64(70), np.int64(12), 8, 17, np.int64(1), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(1), 0], [7, np.int64(85), np.int64(5), 10, 17, np.int64(-2), np.int64(-1), np.int64(0), np.int64(2), np.int64(2), np.int64(1), 0], [7, np.int64(94), np.int64(9), 11, 17, np.int64(1), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(1), 1], [7, np.int64(144), np.int64(2), 16, 17, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 0], [11, np.int64(13), np.int64(13), 1, 4, np.int64(3), np.int64(4), np.int64(2), np.int64(1), np.int64(1), np.int64(2), 1]]"
1,2,1,17,"[[3, np.int64(17), np.int64(17), 1, 9, np.int64(1), np.int64(2), np.int64(3), np.int64(3), np.int64(3), np.int64(2), 1], [3, np.int64(22), np.int64(5), 2, 9, np.int64(0), np.int64(1), np.int64(2), np.int64(2), np.int64(2), np.int64(1), 0], [3, np.int64(29), np.int64(4), 4, 9, np.int64(-1), np.int64(0), np.int64(1), np.int64(2), np.int64(2), np.int64(1), 0], [3, np.int64(88), np.int64(39), 7, 9, np.int64(1), np.int64(2), np.int64(3), np.int64(1), np.int64(1), np.int64(0), 1], [4, np.int64(28), np.int64(7), 3, 12, np.int64(1), np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(2), 1], [4, np.int64(84), np.int64(15), 8, 12, np.int64(2), np.int64(3), np.int64(1), np.int64(0), np.int64(0), np.int64(1), 0], [4, np.int64(91), np.int64(2), 10, 12, np.int64(0), np.int64(1), np.int64(-1), np.int64(1), np.int64(1), np.int64(2), 0], [5, np.int64(5), np.int64(5), 1, 10, np.int64(2), np.int64(3), np.int64(4), np.int64(1), np.int64(1), np.int64(0), 1], [5, np.int64(35), np.int64(30), 2, 10, np.int64(-2), np.int64(-1), np.int64(0), np.int64(3), np.int64(3), np.int64(2), 0], [6, np.int64(33), np.int64(33), 1, 13, np.int64(1), np.int64(2), np.int64(3), np.int64(2), np.int64(2), np.int64(1), 1], [6, np.int64(59), np.int64(12), 4, 13, np.int64(2), np.int64(3), np.int64(1), np.int64(1), np.int64(1), np.int64(2), 0], [6, np.int64(78), np.int64(11), 6, 13, np.int64(2), np.int64(3), np.int64(1), np.int64(1), np.int64(1), np.int64(2), 0], [6, np.int64(112), np.int64(7), 11, 13, np.int64(-1), np.int64(0), np.int64(-2), np.int64(2), np.int64(2), np.int64(3), 1], [6, np.int64(148), np.int64(21), 13, 13, np.int64(1), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(1), 1], [8, np.int64(2), np.int64(2), 1, 18, np.int64(2), np.int64(3), np.int64(1), np.int64(0), np.int64(0), np.int64(1), 1], [8, np.int64(144), np.int64(10), 17, 18, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 1], [9, np.int64(19), np.int64(3), 3, 16, np.int64(1), np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(2), 1], [9, np.int64(23), np.int64(4), 4, 16, np.int64(2), np.int64(3), np.int64(1), np.int64(0), np.int64(0), np.int64(1), 0], [9, np.int64(85), np.int64(14), 9, 16, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 1], [10, np.int64(38), np.int64(31), 2, 12, np.int64(0), np.int64(1), np.int64(-1), np.int64(2), np.int64(2), np.int64(3), 0], [10, np.int64(40), np.int64(2), 3, 12, np.int64(1), np.int64(2), np.int64(3), np.int64(2), np.int64(2), np.int64(1), 1], [10, np.int64(80), np.int64(17), 6, 12, np.int64(1), np.int64(2), np.int64(0), np.int64(2), np.int64(2), np.int64(3), 0], [10, np.int64(103), np.int64(22), 8, 12, np.int64(0), np.int64(1), np.int64(-1), np.int64(1), np.int64(1), np.int64(2), 0], [10, np.int64(104), np.int64(1), 9, 12, np.int64(-1), np.int64(0), np.int64(-2), np.int64(2), np.int64(2), np.int64(3), 1], [11, np.int64(60), np.int64(7), 5, 14, np.int64(0), np.int64(1), np.int64(-1), np.int64(1), np.int64(1), np.int64(2), 1], [11, np.int64(114), np.int64(12), 9, 14, np.int64(-1), np.int64(0), np.int64(-2), np.int64(1), np.int64(1), np.int64(2), 1], [11, np.int64(115), np.int64(1), 10, 14, np.int64(0), np.int64(1), np.int64(-1), np.int64(1), np.int64(1), np.int64(2), 0], [12, np.int64(77), np.int64(3), 4, 10, np.int64(-1), np.int64(0), np.int64(1), np.int64(2), np.int64(2), np.int64(1), 0], [12, np.int64(101), np.int64(4), 6, 10, np.int64(-2), np.int64(-1), np.int64(0), np.int64(3), np.int64(3), np.int64(2), 0], [12, np.int64(131), np.int64(2), 8, 10, np.int64(0), np.int64(1), np.int64(-1), np.int64(1), np.int64(1), np.int64(2), 0], [13, np.int64(12), np.int64(12), 1, 12, np.int64(6), np.int64(7), np.int64(5), np.int64(0), np.int64(0), np.int64(1), 1], [13, np.int64(13), np.int64(1), 2, 12, np.int64(-2), np.int64(-1), np.int64(0), np.int64(2), np.int64(2), np.int64(1), 0], [14, np.int64(37), np.int64(37), 1, 5, np.int64(1), np.int64(2), np.int64(0), np.int64(2), np.int64(2), np.int64(3), 1], [14, np.int64(57), np.int64(20), 2, 5, np.int64(0), np.int64(1), np.int64(-1), np.int64(2), np.int64(2), np.int64(3), 0], [14, np.int64(58), np.int64(1), 3, 5, np.int64(-1), np.int64(0), np.int64(-2), np.int64(3), np.int64(3), np.int64(4), 1], [15, np.int64(8), np.int64(8), 1, 5, np.int64(5), np.int64(6), np.int64(4), np.int64(0), np.int64(0), np.int64(1), 1], [15, np.int64(9), np.int64(1), 2, 5, np.int64(-1), np.int64(0), np.int64(-2), np.int64(1), np.int64(1), np.int64(2), 0]]"
2,2,2,19,"[[4, np.int64(25), np.int64(25), 1, 1, np.int64(-1), np.int64(0), np.int64(-2), np.int64(3), np.int64(3), np.int64(4), 1], [6, np.int64(36), np.int64(36), 1, 5, np.int64(5), np.int64(6), np.int64(4), np.int64(2), np.int64(2), np.int64(3), 1], [6, np.int64(39), np.int64(3), 2, 5, np.int64(-3), np.int64(-2), np.int64(-1), np.int64(5), np.int64(5), np.int64(4), 0], [8, np.int64(78), np.int64(11), 2, 4, np.int64(0), np.int64(1), np.int64(-1), np.int64(2), np.int64(2), np.int64(3), 0], [8, np.int64(83), np.int64(5), 3, 4, np.int64(2), np.int64(3), np.int64(1), np.int64(1), np.int64(1), np.int64(2), 1], [9, np.int64(46), np.int64(18), 4, 10, np.int64(-2), np.int64(-1), np.int64(0), np.int64(2), np.int64(2), np.int64(1), 0], [10, np.int64(133), np.int64(16), 7, 8, np.int64(1), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(1), 1], [11, np.int64(54), np.int64(10), 3, 10, np.int64(0), np.int64(1), np.int64(-1), np.int64(3), np.int64(3), np.int64(4), 1], [11, np.int64(55), np.int64(1), 4, 10, np.int64(2), np.int64(3), np.int64(1), np.int64(1), np.int64(1), np.int64(2), 0], [12, np.int64(50), np.int64(24), 3, 12, np.int64(1), np.int64(2), np.int64(0), np.int64(2), np.int64(2), np.int64(3), 1], [12, np.int64(81), np.int64(5), 6, 12, np.int64(0), np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(0), 0], [12, np.int64(103), np.int64(22), 7, 12, np.int64(1), np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(2), 1], [12, np.int64(122), np.int64(19), 8, 12, np.int64(-1), np.int64(0), np.int64(-2), np.int64(2), np.int64(2), np.int64(3), 0], [13, np.int64(3), np.int64(3), 1, 17, np.int64(3), np.int64(4), np.int64(2), np.int64(0), np.int64(0), np.int64(1), 1], [13, np.int64(15), np.int64(12), 2, 17, np.int64(1), np.int64(2), np.int64(3), np.int64(2), np.int64(2), np.int64(1), 0], [13, np.int64(40), np.int64(9), 4, 17, np.int64(1), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(1), 0], [13, np.int64(52), np.int64(5), 7, 17, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 1], [13, np.int64(131), np.int64(6), 15, 17, np.int64(-1), np.int64(0), np.int64(-2), np.int64(1), np.int64(1), np.int64(2), 1], [15, np.int64(37), np.int64(3), 2, 20, np.int64(-2), np.int64(-1), np.int64(-3), np.int64(4), np.int64(4), np.int64(5), 0], [15, np.int64(57), np.int64(9), 5, 20, np.int64(2), np.int64(3), np.int64(1), np.int64(0), np.int64(0), np.int64(1), 1], [15, np.int64(138), np.int64(18), 17, 20, np.int64(-1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0), 1], [15, np.int64(141), np.int64(3), 18, 20, np.int64(-1), np.int64(0), np.int64(-2), np.int64(1), np.int64(1), np.int64(2), 0], [16, np.int64(123), np.int64(9), 9, 11, np.int64(2), np.int64(3), np.int64(1), np.int64(0), np.int64(0), np.int64(1), 1], [16, np.int64(149), np.int64(20), 11, 11, np.int64(2), np.int64(3), np.int64(1), np.int64(0), np.int64(0), np.int64(1), 1], [17, np.int64(8), np.int64(8), 1, 7, np.int64(5), np.int64(6), np.int64(4), np.int64(1), np.int64(1), np.int64(2), 1], [17, np.int64(11), np.int64(3), 2, 7, np.int64(3), np.int64(4), np.int64(2), np.int64(0), np.int64(0), np.int64(1), 0], [17, np.int64(17), np.int64(6), 3, 7, np.int64(0), np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(0), 1], [17, np.int64(65), np.int64(48), 4, 7, np.int64(-1), np.int64(0), np.int64(1), np.int64(3), np.int64(3), np.int64(2), 0], [19, np.int64(27), np.int64(27), 1, 5, np.int64(-2), np.int64(-1), np.int64(0), np.int64(4), np.int64(4), np.int64(3), 1], [19, np.int64(62), np.int64(2), 3, 5, np.int64(2), np.int64(3), np.int64(1), np.int64(1), np.int64(1), np.int64(2), 1]]"
3,2,3,20,"[[1, np.int64(13), np.int64(3), 4, 35, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 0], [1, np.int64(31), np.int64(3), 10, 35, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 0], [1, np.int64(34), np.int64(2), 12, 35, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 0], [1, np.int64(55), np.int64(9), 18, 35, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 0], [1, np.int64(64), np.int64(2), 22, 35, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 0], [1, np.int64(65), np.int64(1), 23, 35, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 1], [7, np.int64(0), np.int64(0), 1, 3, np.int64(-2), np.int64(1), np.int64(2), np.int64(2), np.int64(0), np.int64(0), 1], [9, np.int64(91), np.int64(24), 2, 2, np.int64(1), np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(2), 0], [13, np.int64(94), np.int64(21), 2, 2, np.int64(0), np.int64(1), np.int64(2), np.int64(2), np.int64(2), np.int64(1), 0], [14, np.int64(130), np.int64(38), 4, 6, np.int64(1), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(1), 0], [15, np.int64(26), np.int64(19), 3, 11, np.int64(-1), np.int64(0), np.int64(1), np.int64(2), np.int64(2), np.int64(1), 1], [15, np.int64(109), np.int64(2), 9, 11, np.int64(1), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(1), 1], [15, np.int64(135), np.int64(26), 10, 11, np.int64(-1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0), 0], [15, np.int64(139), np.int64(4), 11, 11, np.int64(-1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0), 1], [16, np.int64(52), np.int64(14), 6, 17, np.int64(0), np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(0), 0], [16, np.int64(116), np.int64(15), 12, 17, np.int64(1), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(1), 0], [16, np.int64(117), np.int64(1), 13, 17, np.int64(-1), np.int64(0), np.int64(-2), np.int64(1), np.int64(1), np.int64(2), 1], [16, np.int64(132), np.int64(10), 16, 17, np.int64(-1), np.int64(0), np.int64(-2), np.int64(1), np.int64(1), np.int64(2), 0], [16, np.int64(133), np.int64(1), 17, 17, np.int64(1), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(1), 1], [17, np.int64(20), np.int64(20), 1, 15, np.int64(0), np.int64(1), np.int64(2), np.int64(2), np.int64(2), np.int64(1), 1], [17, np.int64(57), np.int64(33), 3, 15, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 1], [17, np.int64(58), np.int64(1), 4, 15, np.int64(-2), np.int64(-1), np.int64(0), np.int64(2), np.int64(2), np.int64(1), 0], [17, np.int64(127), np.int64(24), 12, 15, np.int64(-1), np.int64(0), np.int64(-2), np.int64(1), np.int64(1), np.int64(2), 0], [17, np.int64(128), np.int64(1), 13, 15, np.int64(1), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(1), 1], [17, np.int64(149), np.int64(20), 15, 15, np.int64(-1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0), 1], [18, np.int64(11), np.int64(11), 1, 14, np.int64(-1), np.int64(0), np.int64(1), np.int64(3), np.int64(3), np.int64(2), 1], [18, np.int64(17), np.int64(6), 2, 14, np.int64(-1), np.int64(0), np.int64(1), np.int64(2), np.int64(2), np.int64(1), 0], [18, np.int64(112), np.int64(2), 11, 14, np.int64(2), np.int64(3), np.int64(1), np.int64(0), np.int64(0), np.int64(1), 1], [19, np.int64(44), np.int64(3), 3, 17, np.int64(-1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0), 1], [19, np.int64(47), np.int64(3), 4, 17, np.int64(-3), np.int64(-2), np.int64(-4), np.int64(3), np.int64(3), np.int64(4), 0], [19, np.int64(48), np.int64(1), 5, 17, np.int64(2), np.int64(3), np.int64(1), np.int64(1), np.int64(1), np.int64(2), 1], [19, np.int64(114), np.int64(14), 9, 17, np.int64(1), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(1), 1], [19, np.int64(115), np.int64(1), 10, 17, np.int64(-2), np.int64(-1), np.int64(0), np.int64(2), np.int64(2), np.int64(1), 0], [19, np.int64(140), np.int64(4), 13, 17, np.int64(-2), np.int64(-1), np.int64(-3), np.int64(2), np.int64(2), np.int64(3), 1], [19, np.int64(141), np.int64(1), 14, 17, np.int64(2), np.int64(3), np.int64(1), np.int64(0), np.int64(0), np.int64(1), 0], [19, np.int64(145), np.int64(3), 16, 17, np.int64(-1), np.int64(0), np.int64(-2), np.int64(1), np.int64(1), np.int64(2), 0], [20, np.int64(5), np.int64(5), 1, 20, np.int64(5), np.int64(6), np.int64(4), np.int64(0), np.int64(0), np.int64(1), 1], [20, np.int64(9), np.int64(4), 2, 20, np.int64(3), np.int64(4), np.int64(2), np.int64(0), np.int64(0), np.int64(1), 0], [20, np.int64(12), np.int64(3), 3, 20, np.int64(1), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(1), 1], [20, np.int64(82), np.int64(11), 12, 20, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 0], [20, np.int64(123), np.int64(24), 15, 20, np.int64(1), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(1), 1], [20, np.int64(143), np.int64(9), 19, 20, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 1]]"
4,3,0,1,"[[2, np.int64(24), np.int64(3), 7, 30, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 1], [2, np.int64(77), np.int64(9), 17, 30, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 1], [2, np.int64(87), np.int64(9), 19, 30, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 1], [2, np.int64(127), np.int64(11), 27, 30, np.int64(1), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(1), 1], [3, np.int64(3), np.int64(3), 1, 30, np.int64(3), np.int64(4), np.int64(2), np.int64(0), np.int64(0), np.int64(1), 1], [3, np.int64(31), np.int64(4), 5, 30, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 1], [3, np.int64(40), np.int64(8), 7, 30, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 1], [3, np.int64(74), np.int64(14), 13, 30, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 1], [3, np.int64(82), np.int64(2), 16, 30, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 0], [3, np.int64(110), np.int64(3), 23, 30, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 1], [3, np.int64(135), np.int64(13), 28, 30, np.int64(1), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(1), 0], [3, np.int64(145), np.int64(10), 29, 30, np.int64(1), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(1), 1], [4, np.int64(7), np.int64(7), 1, 27, np.int64(4), np.int64(5), np.int64(3), np.int64(0), np.int64(0), np.int64(1), 1], [4, np.int64(13), np.int64(6), 2, 27, np.int64(-1), np.int64(0), np.int64(-2), np.int64(2), np.int64(2), np.int64(3), 0], [4, np.int64(14), np.int64(1), 3, 27, np.int64(2), np.int64(3), np.int64(1), np.int64(0), np.int64(0), np.int64(1), 1], [4, np.int64(85), np.int64(13), 12, 27, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 0], [4, np.int64(97), np.int64(6), 15, 27, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 1], [4, np.int64(98), np.int64(1), 16, 27, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 0], [4, np.int64(99), np.int64(1), 17, 27, np.int64(-1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0), 1], [4, np.int64(119), np.int64(20), 18, 27, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 0], [4, np.int64(120), np.int64(1), 19, 27, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 1], [4, np.int64(147), np.int64(8), 26, 27, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 0], [5, np.int64(19), np.int64(19), 1, 10, np.int64(1), np.int64(2), np.int64(0), np.int64(2), np.int64(2), np.int64(3), 1], [5, np.int64(114), np.int64(6), 7, 10, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 1], [6, np.int64(8), np.int64(7), 2, 18, np.int64(-1), np.int64(0), np.int64(-2), np.int64(1), np.int64(1), np.int64(2), 0], [6, np.int64(65), np.int64(2), 8, 18, np.int64(-1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0), 0], [7, np.int64(5), np.int64(5), 1, 17, np.int64(2), np.int64(3), np.int64(4), np.int64(1), np.int64(1), np.int64(0), 1], [7, np.int64(26), np.int64(16), 3, 17, np.int64(-1), np.int64(0), np.int64(-2), np.int64(2), np.int64(2), np.int64(3), 1], [7, np.int64(50), np.int64(21), 5, 17, np.int64(-2), np.int64(-1), np.int64(0), np.int64(2), np.int64(2), np.int64(1), 1], [7, np.int64(69), np.int64(12), 8, 17, np.int64(1), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(1), 0], [7, np.int64(84), np.int64(5), 10, 17, np.int64(-2), np.int64(-1), np.int64(0), np.int64(2), np.int64(2), np.int64(1), 0], [7, np.int64(93), np.int64(9), 11, 17, np.int64(1), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(1), 1], [7, np.int64(143), np.int64(2), 16, 17, np.int64(0), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1), 0], [8, np.int64(0), np.int64(0), 1, 7, np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(0), np.int64(0), 1], [11, np.int64(12), np.int64(12), 1, 4, np.int64(3), np.int64(4), np.int64(2), np.int64(1), np.int64(1), np.int64(2), 1]]"
